200000001	정순환 셔틀	정문→자연대→윗공대→기숙사→경영대	 	08:00 ~ 19:00	5~6분 간격	19:00 ~ 21:00	20분 간격
200000002	역순환 셔틀	윗공대→자연대→정문→경영대→기숙사	 	09:50 ~ 12:50	20분 간격	13:30, 14:30, 15:10	20분 간격	15:30 ~ 17:10	20분 간격
200000003	서울대입구역-행정관 셔틀	서울대입구역 - 행정관/본부	약 7분	07:00 ~ 08:00	15분 간격	08:00 ~ 11:00	3~4분 간격	11:00 ~ 15:00	10분 간격	15:00 ~ 19:00	3~4분 간격
200000004	서울대입구역→공대 셔틀	서울대입구역 → 제2공학관	약 15분	08:00 ~ 11:00	6~8분 간격
200000005	대학동-행정관 셔틀	대학동 - 행정관/본부	약 6분	07:00 ~ 08:00	15분 간격	08:00 ~ 11:00	6분간격	11:00 ~ 19:00	10분 간격
200000006	낙성대→윗공대 셔틀	낙성대 → 제1공학관	약 7분	08:30 ~ 11:00	5분 간격
200000007	사당역-행정관 셔틀	사당역 - 행정관	 	08:00 ~ 11:00	10분 간격
200000008	설입 야간버스	행정관/본부 → 서울대입구역	약 7분	21:10, 21:40, 22:10, 22:40, 23:10	30분 간격
200000009	녹두 야간버스	행정관/본부 → 대학동	약 7분	21:10, 21:40, 22:10, 22:40, 23:10	30분 간격
200000010	심야셔틀	에너지자원신기술연구소 → BK국제관,서울대입구역	 	24:00, 24:30, 01:00, 01:30, 02:00	30분 간격
