정문	서울대 정문, 미술관	21128	서울대학교
정문	서울대 정문, 미술관	21127	서울대학교
정문	서울대 정문, 미술관	21269	서울대정문
정문	서울대 정문, 미술관	21299	서울대정문
경영대	경영대, 체육관, 언어교육원	21282	경영대
경영대	경영대, 체육관, 언어교육원	21283	경영대
생활대	생활과학대,보건대,수의대	21281	수의대입구.보건대학원앞
생활대	생활과학대,보건대,수의대	21284	수의대입구.보건대학원앞
인문대	인문대학	21286	관악사삼거리
인문대	인문대학	21279	관악사삼거리
인문대	인문대학	21899	기숙사삼거리
사범대	사범대학	21286	관악사삼거리
사범대	사범대학	21279	관악사삼거리
사범대	사범대학	21899	기숙사삼거리
사범대	사범대학	21915	노천강당
기숙사	학부생기숙사, 대학원기숙사, BK국제관, 글로벌학생생활관	21286	관악사삼거리
기숙사	학부생기숙사, 대학원기숙사, BK국제관, 글로벌학생생활관	21279	관악사삼거리
기숙사	학부생기숙사, 대학원기숙사, BK국제관, 글로벌학생생활관	21899	기숙사삼거리
기숙사	학부생기숙사, 대학원기숙사, BK국제관, 글로벌학생생활관	21564	대학원생활관
기숙사	학부생기숙사, 대학원기숙사, BK국제관, 글로벌학생생활관	21897	대학원생활관
기숙사	학부생기숙사, 대학원기숙사, BK국제관, 글로벌학생생활관	21574	학부생활관
기숙사	학부생기숙사, 대학원기숙사, BK국제관, 글로벌학생생활관	21895	학부생활관
기숙사	학부생기숙사, 대학원기숙사, BK국제관, 글로벌학생생활관	21892	서울대후문.연구공원
기숙사	학부생기숙사, 대학원기숙사, BK국제관, 글로벌학생생활관	21585	BK국제관
윗공대	제1공학관,자동차연구센터, 제2공학관	21276	유회진학술정보관.제1공학관
윗공대	제1공학관,자동차연구센터, 제2공학관	21275	제2공학관
윗공대	제1공학관,자동차연구센터, 제2공학관	21340	제2공학관
윗공대	제1공학관,자동차연구센터, 제2공학관	21341	건설환경종합연구소앞
윗공대	제1공학관,자동차연구센터, 제2공학관	21905	건설환경종합연구소
아랫공대	신소재공동연구소,글로벌공학교육센터,아랫공대	21273	공대입구
아랫공대	신소재공동연구소,글로벌공학교육센터,아랫공대	21292	공대입구
아랫공대	신소재공동연구소,글로벌공학교육센터,아랫공대	21274	신소재
아랫공대	신소재공동연구소,글로벌공학교육센터,아랫공대	21290	에너지자원연구소
농생대	농업생명과학대,3식당,자연대28동	21272	농생대
농생대	농업생명과학대,3식당,자연대28동	21293	농생대
자연대	자연과학대학,정보화본부,학생회관,행정관	21294	자연대.행정관입구
자연대	자연과학대학,정보화본부,학생회관,행정관	21271	자연대.행정관입구
자연대	자연과학대학,정보화본부,학생회관,행정관	21295	서울대본부앞
사회대	사회과학대학,법대,두레문예관,문화관,규장각	21270	법대.사회대입구
사회대	사회과학대학,법대,두레문예관,문화관,규장각	21298	법대.사회대입구
사회대	사회과학대학,법대,두레문예관,문화관,규장각	21297	문화관
음미대	음악대학,미술대학	21280	국제대학원
음미대	음악대학,미술대학	21285	국제대학원
음미대	음악대학,미술대학	21282	경영대
음미대	음악대학,미술대학	21283	경영대
행정관	행정관, 학생회관	21294	자연대.행정관입구
행정관	행정관, 학생회관	21271	자연대.행정관입구
행정관	행정관, 학생회관	21295	서울대본부앞	셔틀버스 정류장과 동일(녹두,설입)
행정관	행정관, 학생회관	??	행정관 앞- 설입 야간 셔틀정류장	정류장이 지정되어 있진 않지만, 행정관 앞에서 버스를 탐
설입	서울대입구역(2호선), 관악구청	??	서울대입구역 - 셔틀정류장
설입	서울대입구역(2호선), 관악구청	21252	서울대입구역
설입	서울대입구역(2호선), 관악구청	21330	서울대입구역
설입	서울대입구역(2호선), 관악구청	21130	관악구청	하행만존재
녹두	대학동 고시촌, 대학동	??	대학동- 녹두 셔틀정류장
녹두	대학동 고시촌, 대학동	21157	대학동고시촌입구
녹두	대학동 고시촌, 대학동	21158	서울산업정보학교.삼성교
녹두	대학동 고시촌, 대학동	21143	서울산업정보학교.삼성교
녹두	대학동 고시촌, 대학동	21144	신성초등학교
낙대	낙성대역(2호선), 낙성대동	??	낙성대 송원갈비 앞(윗공대 셔틀)	제1공학관 행 셔틀
낙대	낙성대역(2호선), 낙성대동	21785	낙성대역
낙대	낙성대역(2호선), 낙성대동	21771	낙성대입구
낙대	낙성대역(2호선), 낙성대동	21800	낙성대입구
